                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2812,                 4.2661,                 2.2423,                0.69547,                0.13924,                0.13554,                0.06386,                 1.8288,                 5.0361,                 1.9665,             0.00013336,             0.00013336,             0.00013336
                      2,                 1.8609,                 2.7695,                 1.8417,                0.84042,                0.10759,                0.14482,                 0.0812,                 1.8562,                 2.8319,                  1.874,             0.00027778,             0.00027778,             0.00027778
                      3,                 1.8182,                 2.3676,                 1.7102,                0.14182,                0.22201,                0.08079,                0.03866,                  2.008,                 2.8914,                 1.9057,             0.00041626,             0.00041626,             0.00041626
                      4,                 1.7378,                 2.2429,                  1.727,                 0.7211,                0.17186,                0.19337,                0.07649,                 2.1017,                 2.6226,                 2.0218,             0.00054879,             0.00054879,             0.00054879
                      5,                 1.8868,                 2.2397,                 1.8377,                0.83678,                0.10127,                0.11311,                0.05616,                 2.2441,                 2.9114,                 2.2928,             0.00067539,             0.00067539,             0.00067539
                      6,                 1.8883,                 2.2299,                 1.8444,                0.22376,                0.33057,                0.21187,                0.08213,                 2.1924,                 3.5103,                 2.3779,             0.00079604,             0.00079604,             0.00079604
                      7,                 1.7348,                 1.9733,                 1.7333,                0.26437,                0.33009,                0.14912,                  0.043,                 2.1865,                 7.0843,                 2.3132,             0.00091076,             0.00091076,             0.00091076
                      8,                 1.8567,                  2.178,                 1.8427,                0.15782,                0.24732,                 0.1026,                 0.0388,                  2.315,                 2.7128,                  2.404,              0.0010195,              0.0010195,              0.0010195
                      9,                 1.8084,                 1.9727,                  1.789,                0.33519,                0.12707,                0.06675,                0.01985,                 2.4618,                 3.1576,                   2.39,              0.0011224,              0.0011224,              0.0011224
                     10,                 1.8145,                 1.9809,                 1.8059,                0.08922,                0.17819,                0.08316,                0.02917,                 2.5055,                 5.2653,                 2.5086,              0.0012192,              0.0012192,              0.0012192
                     11,                 1.8283,                 1.9932,                 1.7475,                0.55265,                0.08861,                0.02752,                0.00743,                 2.4099,                 5.6461,                 2.5157,              0.0013102,              0.0013102,              0.0013102
                     12,                 1.7862,                  1.933,                 1.7603,                0.59459,                0.11392,                0.07096,                0.01908,                 2.4941,                 7.9006,                 2.7093,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.9139,                 2.1124,                 1.8776,                0.58613,                 0.0443,                0.02626,                0.00853,                 2.9531,                 3.4696,                 2.8259,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.8787,                 2.1423,                 1.8653,                0.59965,                0.18354,                0.07206,                0.02501,                 2.3451,                 6.7213,                 2.4923,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.8287,                 2.0126,                 1.7548,                0.57164,                0.17089,                0.03891,                  0.015,                 2.1054,                   7.85,                 2.2428,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.9388,                 2.1124,                 1.8357,                0.70448,                0.11392,                 0.1237,                0.06472,                 2.1503,                 4.7882,                 2.2741,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.7833,                 2.0071,                 1.7563,                0.55429,                 0.1519,                0.02944,                 0.0101,                 2.2727,                 5.8214,                 2.2689,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.8364,                 1.9422,                 1.7533,                0.60544,                0.11332,                0.05368,                0.02006,                 2.2536,                 5.4229,                 2.2263,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.7247,                 1.9085,                 1.7103,                0.56907,                0.05696,                0.02314,                0.00869,                 2.4929,                 4.8474,                 2.4453,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.7009,                   1.87,                 1.6841,                0.56481,                0.15823,                 0.0388,                0.01409,                  2.133,                 4.9322,                 2.1515,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.7533,                 1.8464,                 1.7055,                0.23747,                0.19669,                0.10254,                0.04628,                 2.0745,                 2.8787,                 2.0078,              0.0010069,              0.0010069,              0.0010069
                     22,                 1.6908,                  1.784,                 1.7021,                0.72541,                0.18354,                0.16535,                0.08285,                 2.0045,                 2.3344,                 1.9869,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.7057,                 1.7581,                 1.6853,                0.72145,                 0.1519,                0.17075,                0.07712,                 1.9773,                  3.066,                 1.9711,             0.00094085,             0.00094085,             0.00094085
                     24,                 1.6716,                 1.7158,                 1.6709,                0.32428,                0.27264,                0.18283,                0.08864,                 1.8734,                 2.5082,                 1.9349,             0.00090785,             0.00090785,             0.00090785
                     25,                 1.6911,                 1.7215,                 1.7055,                0.56573,                0.24732,                0.26135,                0.12413,                  1.729,                 2.1198,                 1.7602,             0.00087484,             0.00087484,             0.00087484
                     26,                 1.5599,                 1.5916,                 1.5874,                0.81354,                0.19159,                0.24935,                0.11972,                 1.7924,                 1.9531,                 1.7942,             0.00084184,             0.00084184,             0.00084184
                     27,                 1.5796,                 1.5967,                 1.5697,                0.60576,                0.35297,                 0.2733,                0.11553,                 1.8146,                 1.9631,                 1.8132,             0.00080883,             0.00080883,             0.00080883
                     28,                 1.5628,                   1.55,                 1.5441,                0.50266,                0.30428,                0.29055,                0.13933,                 1.8329,                 1.7442,                 1.7528,             0.00077582,             0.00077582,             0.00077582
                     29,                 1.6087,                 1.5669,                 1.6113,                0.29952,                0.25949,                 0.2914,                0.12856,                 1.8087,                 1.6705,                 1.7708,             0.00074282,             0.00074282,             0.00074282
                     30,                 1.5736,                 1.5303,                 1.5242,                0.29898,                0.37432,                0.28719,                0.12577,                 1.8357,                 1.6699,                 1.7897,             0.00070981,             0.00070981,             0.00070981
                     31,                 1.5634,                 1.4593,                 1.5776,                0.34456,                0.34139,                0.29879,                0.15146,                 1.8201,                 1.5771,                 1.8054,              0.0006768,              0.0006768,              0.0006768
                     32,                 1.4695,                 1.4466,                 1.5042,                 0.3462,                0.32327,                0.30725,                 0.1474,                 1.6944,                 1.6655,                  1.719,              0.0006438,              0.0006438,              0.0006438
                     33,                 1.4248,                 1.3622,                  1.493,                0.76745,                0.28578,                0.35141,                0.16674,                 1.7418,                 1.6831,                 1.7693,             0.00061079,             0.00061079,             0.00061079
                     34,                 1.4425,                  1.452,                 1.4705,                0.57141,                0.28121,                0.34216,                0.17172,                 1.6844,                 1.5673,                 1.7097,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.4384,                  1.393,                 1.4477,                0.43745,                0.34226,                0.32699,                0.17339,                 1.5989,                  1.457,                 1.6294,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.5005,                 1.4433,                 1.4619,                0.38187,                0.38463,                0.36301,                0.18509,                  1.653,                 1.5239,                 1.7016,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.4075,                 1.3644,                 1.4838,                0.35829,                0.38705,                0.39249,                0.19045,                 1.6349,                 1.5197,                 1.6966,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.3349,                  1.298,                  1.401,                0.57649,                0.37439,                0.41768,                0.20214,                 1.6259,                 1.4869,                 1.6637,             0.00044576,             0.00044576,             0.00044576
